OBJECTID,SHAPESTArea,SHAPESTLength,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,AnoAberturaEmpreendimento,ClassificacaoTdP,DataUltClassifF,ValidadeClassif,ParecerPostClassif,DataPostClassif,AtribuicaoUT,RecTurNatureza,CertifAmbiental,DesigCertifAmbiental,CertifQualServ,DesigCertifQualServ,OutrasCertifPremios,DesigOutrasCertif,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,NUTSI,ERT,PNCT,RNAP,RedeNatura2000Global,RedeNatura2000Sitios,RedeNatura2000ZPE,FaixaCosteira,ZonaCosteira,ZonaTerrestreProtecao,LimitePROT,LimitePOC,LimiteAlbufeiras,UNESCO,Geoparques,Biosfera,RedeAldeias,FreguesiasCosteiras,NUTSIIICosteiras,DataAtualiza,SeloCleanSafe,RNET
8787996,5.180419921875,8.0787235948688,10012,Casa do Gadanha,"CASA DO GADANHA, LDA","CASA DO GADANHA, LDA",TurismoDeHabitacao,0,12,24,12,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina exterior,0,NA,2022/02/03 00:00:00+00,2027/02/03 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,www.casadogadanha.pt,michele@casadogadanha.pt,"Rua Vasco da Gama, nº 6",7100-559,ESTREMOZ,"38.8418223 ; -7.5886322",Fiavel,União das freguesias de Estremoz (Santa Maria e Santo André),Estremoz,Évora,Alentejo Central,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/06 00:00:00+00,Não,10012
8787997,5.3388671875,8.2014171447552,10013,Quinta da Rocha 1875,"A.F.C-Quinta da Rocha 1875\, Unipessoal\,Lda","A.F.C-Quinta da Rocha 1875\, Unipessoal\,Lda",TurismoDeHabitacao,0,13,26,13,0,0,0,0,NaoIntegra,,Não,Sim,30,Não,Piscina exterior,2022,NA,2021/12/29 00:00:00+00,2026/12/29 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,quintadarocha1875@gmail.com,"Rua das Pedras, 35",6100-554,PEDRÓGÃO PEQUENO,"39.80533 ; -8.09991",PoucoFiavel,Pedrógão Pequeno,Sertã,Castelo Branco,Médio Tejo,Centro,Continente,Turismo do Centro de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Aldeias de Xisto,,,2022/04/12 00:00:00+00,Não,10013
8787998,4.951416015625,7.89813008913686,10014,Rufino Quinta,Cais das Laranjeiras Lda,Cais das Laranjeiras Lda,Agroturismo,0,10,20,10,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina,2022,NA,2021/06/17 00:00:00+00,2026/06/17 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,,info@rufinoquinta.com,"Quinta da Lameira, Vivenda Lameira",8365-302,ALCANTARILHA,"37.1887 ; -8.43848",Fiavel,União das freguesias de Alcantarilha e Pêra,Silves,Faro,Algarve,Algarve,Continente,Região de Turismo do Algarve,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Algarve,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/04/08 00:00:00+00,Não,10014
8787999,5.451171875,8.28664615516691,10015,Quinta do Morango,Jose Joaquim Coelho Dias Arede,TEREMA - EXPLORAÇÃO DE PRODUTOS AGRICOLAS E IMPLEMENTAÇÃO DE TURISMO EM ESPAÇO RURAL LDA,Agroturismo,0,3,6,2,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina Exterior,0,Nao,2022/03/28 00:00:00+00,2027/03/28 00:00:00+00,NA,,Não,Não,Não,,Não,,Não,,Não,,josejoaquimdiasarede@gmail.com,Quinta do Morango,3505-366,VISEU,"40.6145857 ; -7.8590763",Fiavel,Fragosela,Viseu,Viseu,Viseu Dão Lafões,Centro,Continente,Turismo do Centro de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Centro,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Não,2022/03/23 00:00:00+00,Não,10015
8788000,5.141845703125,8.04874105743496,10019,Casa Soure Suites & Apartments,INEDITO & SOBERANO LDA,INEDITO & SOBERANO LDA,TurismoDeHabitacao,0,6,14,2,4,0,0,0,NaoIntegra,,Não,Não,0,Não,,2021,NA,2021/10/15 00:00:00+00,2026/10/15 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Sim,,ineditoesoberano@gmail.com,"Rua da Misericórdia, n.º 7 e 9",7000-654,ÉVORA,"38.570727 ; -7.9062787",Fiavel,"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",Évora,Évora,Alentejo Central,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Centro Histórico de Évora,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/06 00:00:00+00,Não,10019
8788001,5.51220703125,8.33416129007194,1002,Hotel Davilina,"Residencial Davilina, Lda","HRH Hoteis, Lda.",Hotel,2,27,54,26,1,0,0,0,NaoIntegra,,Não,Não,0,Não, ,1987,Sim,2015/10/12 00:00:00+00,2020/10/12 00:00:00+00,Não,,Sim,Não,Não,,Não,,Não,,Não,www.hoteldavilina.com,geral@hoteldavilina.com,"Avenida da Republica, 1571",4430-205,Vila Nova de Gaia,"41,1246029620745 ; -8,60551266960033",Fiavel,União das freguesias de Mafamude e Vilar do Paraíso,Vila Nova de Gaia,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,,Não,1002
8788002,5.56689453125,8.37381118301234,10021,Casa de l' Eigreija - Turismo Rural,Mário Miguel Mora Afonso,Mário Miguel Mora Afonso,CasaDeCampo,0,5,10,5,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2021,NA,2021/12/16 00:00:00+00,2026/12/16 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Sim,,htrural_viladala@sapo.pt,Rua de S. Sebastião nº 2,5200-544,VILA DE ALA,"41.3241231 ; -6.6162003",Fiavel,Vila de Ala,Mogadouro,Bragança,Terras de Trás-os-Montes,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Parque Natural - Douro Internacional,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/11 00:00:00+00,Sim,10021
8788003,703.22607421875,106.928958473979,10022,Altis Suites Apartamentos Turísticos,ALTIS - SOCIEDADE DE EMPREENDIMENTOS TURISTICOS E,ALTIS - SOCIEDADE DE EMPREENDIMENTOS TURISTICOS E,ApartamentosTuristicos,4,22,51,0,0,22,0,0,NaoIntegra,,Não,Não,0,Não,-,2021,Sim,,,Não,,Não,Não,Não,,Não,,Não,,Não,https://www.altishotels.com/pt/altissuites/apartho,secgeral@altishotels.com,"Rua Castilho, 13",1250-096,LISBOA,"38,7270072538595 ; -9,15559899342309",Fiavel,Santo António,Lisboa,Lisboa,Área Metropolitana de Lisboa,Área Metropolitana de Lisboa,Continente,Entidade Regional de Turismo da Região de Lisboa,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Área Metropolitana de Lisboa,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/04/18 00:00:00+00,Não,10022
8788004,8351.90576171875,360.91474905907,10023,Motel Avenue Leiria-Pombal,INFINITA VONTADE LDA,INFINITA VONTADE LDA,Hotel,2,22,44,19,3,0,0,0,NaoIntegra,,Não,Sim,20,Não,-,0,Sim,2022/05/09 00:00:00+00,2027/05/09 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.motelavenue.pt,geral@motelavenue.pt,"Rua da Floresta, n.º 38",2415-024,LEIRIA,,Fiavel,Milagres,Leiria,Leiria,Região de Leiria,Centro,Continente,Turismo do Centro de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Não,Sim,2022/05/10 00:00:00+00,Não,10023
8788005,607.9521484375,102.173800156167,10024,The Lift Boutique Hotel,LUIS MORAIS CORREIA,"RIDAN\, UNIPESSOAL\, LDA",Hotel,3,27,48,27,0,0,0,0,NaoIntegra,,Não,Não,0,Não,-,2017,Sim,2022/06/16 00:00:00+00,2027/06/16 00:00:00+00,ProjetoAlteracoes,2022/07/12 00:00:00+00,Não,Não,Não,,Não,,Não,,Sim,,filipe.alves@ridanhotels.com,Rua Áurea 265,1100-062,LISBOA,"38,712355788636 ; -9,13936967076333",Fiavel,Santa Maria Maior,Lisboa,Lisboa,Área Metropolitana de Lisboa,Área Metropolitana de Lisboa,Continente,Entidade Regional de Turismo da Região de Lisboa,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Área Metropolitana de Lisboa,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2023/02/28 00:00:00+00,Não,10024
8788006,20199.2121582031,588.005432066269,10026,Montinho de Ouro,"Pétalas Verdes - Empreendimentos Turísticos, Lda","Pétalas Verdes - Empreendimentos Turísticos, Lda",HotelRural,3,20,44,8,3,9,0,0,NaoIntegra,,Não,Não,0,Não,Piscina e campo de ténis,2007,Sim,2022/04/20 00:00:00+00,2027/04/20 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,https://montinhodeouro.com/,catiacandeias@montinhodeouro.com,"Sitio dos Montinhos da Luz, 2203-B",8600-118,LUZ LGS,"37,0953889472007 ; -8,74646577554712",Fiavel,Luz,Lagos,Faro,Algarve,Algarve,Continente,Região de Turismo do Algarve,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Algarve,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/04/22 00:00:00+00,Não,10026
8788007,2228.34326171875,228.965245233338,10027,Vip Executive Picoas Hotel,SOPORILDA - SOCIEDADE PORTUGUESA DE IMÓVEIS LDA.,"Pensar a Cidade - Actividades Hoteleiras, Lda.",Hotel,4,131,241,126,5,0,0,0,NaoIntegra,,Não,Sim,0,Não,"Zona de estar com bar; Sala polivalente",2019,Sim,2022/11/25 00:00:00+00,2027/11/25 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.viphotels.com,hotelpicoas@viphotels.com,Rua Filipe Folque n.º 12 B,1069-191,LISBOA,"38,7316243150515 ; -9,14956259548288",Fiavel,Avenidas Novas,Lisboa,Lisboa,Área Metropolitana de Lisboa,Área Metropolitana de Lisboa,Continente,Entidade Regional de Turismo da Região de Lisboa,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Área Metropolitana de Lisboa,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/11/29 00:00:00+00,Não,10027
8788008,5.584716796875,8.38842737448883,10028,Casas da Serra - Soeima Housing,Helder Nuno Moreno,Helder Nuno Moreno,CasaDeCampo,0,7,14,6,1,0,0,0,NaoIntegra,,Não,Não,0,Não,,0,NA,2022/01/18 00:00:00+00,2027/01/18 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,hmfmnm@gmail.com,Rua da Igreja - Soeima,5350-360,SOEIMA,"41.414485 ; -6.971135",PoucoFiavel,União das freguesias de Gebelim e Soeima,Alfândega da Fé,Bragança,Terras de Trás-os-Montes,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/03/23 00:00:00+00,Não,10028
8788009,5881.478515625,373.275813463265,1003,Hotel Cozinha Portuguesa,Aduino Ribeiro Afonso,Aduino Ribeiro Afonso,Hotel,2,157,314,156,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,1949,Por reconverter,1992/09/09 00:00:00+00,1996/09/09 00:00:00+00,ProjetoAlteracoes,2012/10/03 00:00:00+00,Não,Não,Não,,Não,,Não,,Não,www.hoteldomafonso.com,pensao@hoteldomafonso.com,"Estrada da Base Aérea, nº 5",2425-028,Monte Real,"39,8507042881806 ; -8,86932440568334",Fiavel,União das freguesias de Monte Real e Carvide,Leiria,Leiria,Região de Leiria,Centro,Continente,Turismo do Centro de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Centro,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,,Não,1003
8788010,5.638427734375,8.42862815324924,10030,Casa Ferradal,CASA FERRADAL - SOCIEDADE AGROTURISMO DE QUINTANI,CASA FERRADAL - SOCIEDADE AGROTURISMO DE QUINTANI,CasaDeCampo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,NA,2022/01/06 00:00:00+00,2027/01/06 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,www.casaferradal.com,geral@casaferradal.com,Rua do Tanque nº 2,5300-772,QUINTANILHA,"41.750285 ; -6.570325",Fiavel,Quintanilha,Bragança,Bragança,Terras de Trás-os-Montes,Norte,Continente,Turismo do Porto e Norte de Portugal,PNCT - Área de Intervenção,Parque Natural - Montesinho,Rede Natura 2000 (Global),Montesinho/Nogueira,Montesinho/Nogueira,Não Abrangido,Não Abrangido,Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/04/04 00:00:00+00,Não,10030
8788011,687361.228027344,8451.98706097003,10031,Aldeamento Turístico Royal Óbidos Spa & Golf Resort,,"Royal Óbidos - Promoção e Gestão Imobiliária e Turística, S.A.",AldeamentoTuristico,4,128,256,0,0,128,0,0,ComParecerFavoravel,,Não,Não,0,Não,"Piscinas comuns; Campo de jogos polivalente; Parque infantil",2021,Sim,2022/07/17 00:00:00+00,2027/07/17 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.royalobidos.com,info@evoluteehotel.com,Cabeço da Serra,2510-665,VAU,"39,4075756308161 ; -9,24766671163449",Fiavel,Vau,Óbidos,Leiria,Oeste,Centro,Continente,Turismo do Centro de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Oeste e Vale do Tejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/07/19 00:00:00+00,Não,10031
8788012,5.117919921875,8.03013071813952,10032,Monte do Olival,"MONTE DO OLIVAL, LDA","MONTE DO OLIVAL, LDA",CasaDeCampo,0,4,8,4,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,2022,Sim,2022/04/05 00:00:00+00,2027/04/05 00:00:00+00, ,,Não,Não,Não,,Não,,Não,,Não,,info@montedoolival.pt,"Monte do Olival, CCI 2407",7580-516,ALCÁCER DO SAL,"38.37429 ; -8.50894",Fiavel,União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,Alcácer do Sal,Setúbal,Alentejo Litoral,Alentejo,Continente,Turismo do Alentejo,PNCT - Área de Intervenção,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Alentejo,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,,,2022/05/03 00:00:00+00,Sim,10032
